site,day_of_month,month,year,text,species,count,areaTextMatch,visitId
Reddish Vale Country Park,8,March,2017,"Count: 2, observerId: obsr419927, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr419927, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS473564459
Reddish Vale Country Park,8,March,2017,"Count: 2, observerId: obsr20091, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr20091, duration: 45, number of observers: 2, distance covered: 0.8, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS473568454
Reddish Vale Country Park,13,May,2017,"Count: 1, observerId: obsr921629, duration: null, number of observers: 3, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr921629, duration: null, number of observers: 3, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS498649166
Stretford Meadows,28,February,2010,"Count: 6, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,6,"Count: 6, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS603444057
Stretford Meadows,19,April,2016,"Count: 7, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,7,"Count: 7, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS603440018
Stretford Meadows,23,April,2018,"Count: 6, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",Stock Dove,6,"Count: 6, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS604213651
Stretford Meadows,21,April,2018,"Count: 2, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.4, area covered: null, trip comments: No sight nor sound of yesterdays reported Whinchat or 3 Grasshopper Warbler, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr744865, duration: 90, number of observers: 1, distance covered: 2.4, area covered: null, trip comments: No sight nor sound of yesterdays reported Whinchat or 3 Grasshopper Warbler, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS602944667
Stretford Meadows,19,July,2018,"Count: 1, observerId: obsr744865, duration: 85, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr744865, duration: 85, number of observers: 1, distance covered: 2.5, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS641074249
Chorlton Water Park,19,August,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS345150376
Chorlton Water Park,5,July,2007,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS345136242
Chorlton Water Park,7,May,1983,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: , species comments: Barlow Tip",Stock Dove,1,"Count: 1, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: , species comments: Barlow Tip",URN:CornellLabOfOrnithology:EBIRD:OBS584453881
Chorlton Water Park,26,November,2008,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,1,"Count: 1, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS346554173
Chorlton Water Park,13,February,1984,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr744865, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS591500119
Chorlton Water Park,13,April,2009,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS347528504
Chorlton Water Park,29,June,2009,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,3,"Count: 3, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS347708557
Chorlton Water Park,5,April,2010,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",Stock Dove,2,"Count: 2, observerId: obsr647536, duration: null, number of observers: null, distance covered: null, area covered: null, trip comments: null, species comments: null",URN:CornellLabOfOrnithology:EBIRD:OBS348911164
